date,symbol,emotion_score,model_score,success
20260206,000767,2.0,0.648358257019341,0
20260206,001360,2.0,0.689444268427378,0
20260206,002009,2.0,0.6351760562564113,0
20260206,002015,2.0,0.4396270868419328,1
20260206,002054,2.0,0.658339288771761,1
20260206,002072,2.0,0.39335009087851075,0
20260206,002099,2.0,0.5133226303353086,1
20260206,002112,2.0,0.6483412200045876,0
20260206,002150,2.0,0.5432653835406521,0
20260206,002207,2.0,0.36180233199801815,0
20260206,002339,2.0,0.6781089264780938,0
20260206,002345,2.0,0.564291175121963,0
20260206,002412,2.0,0.5911233919295361,0
20260206,002440,2.0,0.6712263684586766,1
20260206,002455,2.0,0.6119921729181859,1
20260206,002519,2.0,0.33328765580460695,0
20260206,002624,2.0,0.39148157519826693,1
20260206,002634,2.0,0.7112419022059022,0
20260206,002728,2.0,0.6846706311522344,0
20260206,002759,2.0,0.5047083150121976,0
20260206,002772,2.0,0.6699399957689461,0
20260206,002812,2.0,0.42850545258428735,0
20260206,002830,2.0,0.626889393281547,1
20260206,002842,2.0,0.6480590402863394,0
20260206,002921,2.0,0.7049220581924955,0
20260206,002957,2.0,0.43028329196488696,0
20260206,301312,2.0,0.41000089135239276,0
20260206,600063,2.0,0.5379219688473481,0
20260206,600230,2.0,0.6722430999735729,0
20260206,600345,2.0,0.671447509316845,0
20260206,600686,2.0,0.6739513687527969,0
20260206,600722,2.0,0.670025574337718,1
20260206,600759,2.0,0.37564627419772517,0
20260206,600884,2.0,0.665350967525462,1
20260206,600987,2.0,0.4234416948246429,0
20260206,603138,2.0,0.6774981169440647,0
20260206,603331,2.0,0.6514109486587147,0
20260206,603607,2.0,0.5548781876751092,0
20260206,603618,2.0,0.6669464204713144,0
20260206,603626,2.0,0.4258614130346981,1
20260206,603663,2.0,0.43022354794479867,0
20260206,603667,2.0,0.6297293739791564,0
20260206,603823,2.0,0.6812568713245035,0
20260206,603876,2.0,0.45520625935879255,0
20260206,603881,2.0,0.40966118846593647,0
20260206,603959,2.0,0.6731856846793267,0
20260206,605488,2.0,0.665489675570293,0
20260209,000014,2.5,0.7179552524776779,0
20260209,000016,2.5,0.5537719927500048,0
20260209,000525,2.5,0.36927068255968326,0
20260209,000571,2.5,0.6739447301643893,0
20260209,000892,2.5,0.7159187586317346,1
20260209,001217,2.5,0.39497292506571274,0
20260209,001266,2.5,0.6603841645519358,0
20260209,001326,2.5,0.5463478197661558,0
20260209,001330,2.5,0.6657451979159715,1
20260209,002079,2.5,0.45044130441586727,0
20260209,002129,2.5,0.6660091591935848,0
20260209,002218,2.5,0.6095504294524942,0
20260209,002272,2.5,0.5219657963709601,0
20260209,002296,2.5,0.689611679470215,0
20260209,002309,2.5,0.6884571022371613,0
20260209,002323,2.5,0.6991521213783758,1
20260209,002429,2.5,0.7017384568209871,1
20260209,002438,2.5,0.7009740927275304,0
20260209,002471,2.5,0.33503694641836446,0
20260209,002501,2.5,0.6800725173980838,0
20260209,002534,2.5,0.6992208675146571,0
20260209,002623,2.5,0.6923529988693528,0
20260209,002716,2.5,0.395499565437713,0
20260209,300182,2.5,0.6348329247619017,1
20260209,300364,2.5,0.697350257121529,1
20260209,300480,2.5,0.383976611243394,0
20260209,300749,2.5,0.48878993116293246,1
20260209,300982,2.5,0.6893681366187515,0
20260209,301231,2.5,0.7141199219295528,1
20260209,301232,2.5,0.372385315727591,0
20260209,301262,2.5,0.6778837931322004,0
20260209,600172,2.5,0.6743069328415805,0
20260209,600185,2.5,0.4218483507934504,0
20260209,600330,2.5,0.6542784686329436,0
20260209,600392,2.5,0.6530220949143942,0
20260209,600477,2.5,0.6944572846588088,0
20260209,600586,2.5,0.7154324505672677,0
20260209,600589,2.5,0.6948199296685049,1
20260209,600590,2.5,0.5294807576854884,0
20260209,600666,2.5,0.6663114138439994,0
20260209,600683,2.5,0.3768940696759407,0
20260209,600751,2.5,0.6123269969505029,0
20260209,600841,2.5,0.6518125123038506,0
20260209,600875,2.5,0.49294093191942806,0
20260209,601360,2.5,0.4045478510517801,0
20260209,601595,2.5,0.7137480872733662,1
20260209,601869,2.5,0.4861826257618555,1
20260209,603031,2.5,0.6808954084632148,0
20260209,603103,2.5,0.6641834704595063,1
20260209,603163,2.5,0.5396073606516502,0
20260209,603188,2.5,0.6972176457018,0
20260209,603191,2.5,0.5480163769898305,0
20260209,603301,2.5,0.698001500668651,1
20260209,603308,2.5,0.6500953099248772,0
20260209,603466,2.5,0.713862242238987,1
20260209,603533,2.5,0.7160295684765456,1
20260209,603598,2.5,0.5090627899680976,1
20260209,603629,2.5,0.34571438014109634,0
20260209,603729,2.5,0.7193419628128234,1
20260209,603829,2.5,0.7117281163968127,0
20260209,603929,2.5,0.4562637652288867,0
20260209,603980,2.5,0.7203120424017952,1
20260209,605060,2.5,0.6733745438886687,1
20260209,605287,2.5,0.7191401325530357,1
20260209,605566,2.5,0.4345548539794212,0
20260209,605598,2.5,0.694816422716798,0
20260209,688025,2.5,0.6712922357314327,0
20260209,688435,2.5,0.3606443943904998,0
20260209,688503,2.5,0.541924003815763,0
20260210,000056,1.0,0.5669722790171681,0
20260210,000070,1.0,0.7065246824687896,1
20260210,000156,1.0,0.6947841125829767,0
20260210,000559,1.0,0.4070738644424612,0
20260210,000681,1.0,0.49149106514787627,0
20260210,000815,1.0,0.6393497556287122,0
20260210,000818,1.0,0.546410556445396,0
20260210,000839,1.0,0.6844752431000667,0
20260210,000859,1.0,0.6808966924616682,0
20260210,002082,1.0,0.6856542334283352,0
20260210,002159,1.0,0.49565264795969893,0
20260210,002181,1.0,0.3729184822565423,0
20260210,002292,1.0,0.4860874776695579,0
20260210,002302,1.0,0.3939296529297744,0
20260210,002597,1.0,0.44844175097033573,0
20260210,002655,1.0,0.6587185492127285,0
20260210,002723,1.0,0.7181897365342331,1
20260210,002739,1.0,0.3682659042531039,0
20260210,002806,1.0,0.6415338359141447,0
20260210,002905,1.0,0.6687418845706402,0
20260210,002969,1.0,0.37155906758858415,0
20260210,300251,1.0,0.5124438952113564,0
20260210,300528,1.0,0.4763867878522967,0
20260210,301025,1.0,0.65032980798148,0
20260210,301085,1.0,0.623563414253747,0
20260210,600088,1.0,0.5174693268794403,0
20260210,600207,1.0,0.547945021423344,0
20260210,600482,1.0,0.40979532303947636,0
20260210,600715,1.0,0.7042145552901526,0
20260210,600977,1.0,0.5320845810282068,0
20260210,601599,1.0,0.6693391720636764,0
20260210,603000,1.0,0.7041670387903896,0
20260210,603058,1.0,0.6849103221226361,0
20260210,603115,1.0,0.6988973813914344,0
20260210,603320,1.0,0.693282776147375,0
20260210,603888,1.0,0.6730605091112009,0
20260210,603960,1.0,0.6565802795100089,0
20260210,603968,1.0,0.5279199216617586,1
20260210,603999,1.0,0.677852522856656,0
20260211,000510,4.0,0.6710552834479699,0
20260211,000657,4.0,0.425523670385133,0
20260211,000659,4.0,0.5157692204725784,0
20260211,000962,4.0,0.5459820935179243,1
20260211,001217,4.0,0.7118179946675273,0
20260211,001267,4.0,0.40071488468519206,0
20260211,001359,4.0,0.407234587973491,0
20260211,001376,4.0,0.4241922772893877,0
20260211,001896,4.0,0.7173400391565791,1
20260211,002080,4.0,0.6835866043602404,1
20260211,002254,4.0,0.43616913500862176,0
20260211,002270,4.0,0.5365988752351354,0
20260211,002340,4.0,0.49997974287333535,0
20260211,002378,4.0,0.6747714856127912,1
20260211,002470,4.0,0.5248364624749151,0
20260211,002757,4.0,0.6979454408577496,0
20260211,002842,4.0,0.6930347079263738,1
20260211,002951,4.0,0.6979946057089662,1
20260211,003018,4.0,0.4879491347376213,0
20260211,300819,4.0,0.683070061323359,0
20260211,301526,4.0,0.6899131967917971,0
20260211,600176,4.0,0.6553120208104205,0
20260211,600186,4.0,0.6567507613626534,0
20260211,600292,4.0,0.6566965214087153,0
20260211,600397,4.0,0.6740209838009659,1
20260211,600545,4.0,0.663170231112739,1
20260211,600583,4.0,0.4065211788105757,0
20260211,600722,4.0,0.5003258446978003,0
20260211,600980,4.0,0.6686876785728604,0
20260211,601121,4.0,0.43998792658352404,0
20260211,603125,4.0,0.4624762888102976,0
20260211,603138,4.0,0.6849736132763182,1
20260211,603256,4.0,0.6885456654747318,1
20260211,603601,4.0,0.6702565683945918,0
20260211,603608,4.0,0.6856865796022266,0
20260211,603629,4.0,0.5692733121329272,0
20260211,603682,4.0,0.7026796828881328,0
20260211,605006,4.0,0.7140708415597868,1
20260211,605033,4.0,0.6974103260288057,1
20260211,688035,4.0,0.6137066667065233,0
20260212,001217,1.0,0.7118179978068985,0
20260212,002757,1.0,0.6979454331134223,0
20260212,603608,1.0,0.6856865843182559,0
20260212,600176,1.0,0.6553118112815857,0
20260212,301526,1.0,0.6899131992169696,0
20260212,300819,1.0,0.6830700609646149,0
20260212,603601,1.0,0.6702566339470796,0
20260212,603682,1.0,0.7026796781878144,0
20260212,600186,1.0,0.6567506511825106,0
20260212,603629,1.0,0.569273437531328,0
20260212,000510,1.0,0.6710552810492846,0
20260212,600980,1.0,0.6686876754470539,0
20260212,600292,1.0,0.6566965383908874,0
20260212,688035,1.0,0.6137065726360041,0
20260212,000659,1.0,0.5157691380567132,0
20260212,002340,1.0,0.4999797330685936,0
20260212,003018,1.0,0.4879490364773797,0
20260212,002270,1.0,0.5365988873562382,0
20260212,603125,1.0,0.4624762170221021,0
20260212,600722,1.0,0.5003259198350822,0
20260212,002470,1.0,0.5248364645609063,0
20260212,000657,1.0,0.4255236669791823,0
20260212,601121,1.0,0.43998792575537443,0
20260212,001376,1.0,0.42419231695346105,0
20260212,002254,1.0,0.43616909719411406,0
20260212,600583,1.0,0.4065211750556608,0
20260212,001267,1.0,0.4007149451691295,0
20260212,001359,1.0,0.407234578263107,0
20260212,000533,1.0,0.6617078243214447,0
20260212,000628,1.0,0.30918183774468283,0
20260212,000767,1.0,0.6748509434797013,0
20260212,000833,1.0,0.6609071000407682,0
20260212,002131,1.0,0.38633128036880265,0
20260212,002208,1.0,0.37889374842490087,0
20260212,002248,1.0,0.6562400164720603,0
20260212,002272,1.0,0.6999424593871615,0
20260212,002364,1.0,0.527705889267174,0
20260212,002478,1.0,0.5498892384173141,0
20260212,002498,1.0,0.5141960302407917,1
20260212,002518,1.0,0.5306024371636497,0
20260212,002520,1.0,0.6441769666006659,0
20260212,002796,1.0,0.42430901790025655,0
20260212,002824,1.0,0.6823906450699602,0
20260212,002837,1.0,0.6374533239187461,0
20260212,002885,1.0,0.5075514789519208,0
20260212,002922,1.0,0.4558258769217885,0
20260212,002975,1.0,0.6831759639797316,0
20260212,300277,1.0,0.5308836809116991,0
20260212,300846,1.0,0.3826524838043565,0
20260212,301317,1.0,0.6301636931424652,0
20260212,600026,1.0,0.5067229286677475,0
20260212,600481,1.0,0.4299874718150004,0
20260212,600490,1.0,0.6710059390266806,0
20260212,600673,1.0,0.49293461261561156,0
20260212,600821,1.0,0.7082454208178152,0
20260212,600960,1.0,0.5217496401139918,0
20260212,601126,1.0,0.5320920024540027,0
20260212,601231,1.0,0.6552475198928325,0
20260212,601619,1.0,0.45074701742190615,0
20260212,601872,1.0,0.642470739051543,0
20260212,603088,1.0,0.6928888612579734,0
20260212,603090,1.0,0.4607421571979483,0
20260212,603191,1.0,0.6620220504188661,0
20260212,603308,1.0,0.5289255233815641,0
20260212,603688,1.0,0.6582914903534778,0
20260212,603757,1.0,0.7104029538915808,0
20260212,603950,1.0,0.693563370868935,0
20260212,605018,1.0,0.43746255398479406,0
20260212,605318,1.0,0.4392064609300355,0
20260212,688158,1.0,0.48818767148878944,0
20260212,688480,1.0,0.5386536129090033,0
20260213,603757,2.0,0.7104029461181559,0
20260213,002272,2.0,0.6999424537427068,0
20260213,600821,2.0,0.7082454174284156,0
20260213,603950,2.0,0.6935633585994324,0
20260213,002248,2.0,0.6562400933698016,0
20260213,601872,2.0,0.6424705479450499,0
20260213,002837,2.0,0.63745330436006,0
20260213,603088,2.0,0.6928888640113525,0
20260213,000833,2.0,0.6609070218139056,0
20260213,002975,2.0,0.6831759626441185,0
20260213,601231,2.0,0.6552477528690045,0
20260213,002520,2.0,0.6441768556317393,0
20260213,000767,2.0,0.6748509205241182,0
20260213,002824,2.0,0.682390652222473,0
20260213,600490,2.0,0.6710059053884553,0
20260213,603688,2.0,0.6582914971716293,0
20260213,000533,2.0,0.6617077841259682,0
20260213,603191,2.0,0.6620220478294843,0
20260213,301317,2.0,0.6301637016704073,0
20260213,688158,2.0,0.4881876039012209,0
20260213,600026,2.0,0.506722932583681,0
20260213,002478,2.0,0.5498892756803602,0
20260213,300277,2.0,0.53088361187497,0
20260213,603308,2.0,0.5289255655770918,0
20260213,002364,2.0,0.5277058798852318,0
20260213,601126,2.0,0.5320920194028149,0
20260213,688480,2.0,0.5386536086224113,0
20260213,002518,2.0,0.5306024287534481,0
20260213,600673,2.0,0.49293462352233014,0
20260213,002885,2.0,0.5075515082946059,0
20260213,600960,2.0,0.5217496483394874,0
20260213,603090,2.0,0.46074216675959573,0
20260213,002922,2.0,0.45582586101896977,0
20260213,000628,2.0,0.3091818241109292,0
20260213,601619,2.0,0.4507469998682121,0
20260213,605318,2.0,0.4392064529300129,0
20260213,300846,2.0,0.38265258216739434,0
20260213,600481,2.0,0.42998746530087634,0
20260213,002796,2.0,0.4243089745738142,0
20260213,605018,2.0,0.43746255492006214,0
20260213,002131,2.0,0.3863312562263941,0
20260213,002208,2.0,0.3788937597012109,0
20260213,000021,2.0,0.38522309747128586,0
20260213,000798,2.0,0.6774998539585444,0
20260213,000839,2.0,0.7101353650327334,0
20260213,000859,2.0,0.6486385615584124,0
20260213,000890,2.0,0.5017707788154457,1
20260213,002009,2.0,0.45431140725445224,0
20260213,002169,2.0,0.670004225289298,0
20260213,002355,2.0,0.5292602017247687,0
20260213,002510,2.0,0.6209070711503963,0
20260213,002703,2.0,0.6715427688534197,0
20260213,002843,2.0,0.6877474422845667,0
20260213,300449,2.0,0.6691979322463463,0
20260213,300719,2.0,0.4906481702443945,0
20260213,300812,2.0,0.6077345820999083,0
20260213,600410,2.0,0.6610353341329419,0
20260213,600629,2.0,0.6913458695894117,0
20260213,600791,2.0,0.6931408301924319,0
20260213,600893,2.0,0.3578258903004835,0
20260213,600984,2.0,0.6747305387464846,0
20260213,601777,2.0,0.5163971750811006,0
20260213,601890,2.0,0.6907416655861849,1
20260213,603163,2.0,0.680809641153686,0
20260213,603331,2.0,0.681266004116526,0
20260213,603466,2.0,0.6115918032036148,1
20260213,603960,2.0,0.6295225321773823,0
20260213,605007,2.0,0.6889192949880345,0
20260213,605289,2.0,0.5221327974779397,1
20260224,000636,1.0,0.708186085157553,1
20260224,601872,1.0,0.6135068987573064,1
20260224,600026,1.0,0.5729894086120424,0
20260224,601975,1.0,0.6716633856506339,0
20260224,600759,1.0,0.6949700016237632,1
20260224,603959,1.0,0.7048771292886565,0
20260224,002207,1.0,0.7100004449134917,0
20260224,605006,1.0,0.7108400109760472,0
20260224,002506,1.0,0.5556482802730107,0
20260224,002490,1.0,0.709829876159756,0
20260224,300164,1.0,0.6676869386990616,0
20260224,600397,1.0,0.6551043482522586,1
20260224,603124,1.0,0.7124113471479068,0
20260224,603619,1.0,0.7080022003237508,0
20260224,600078,1.0,0.7113227091361226,1
20260224,000554,1.0,0.7043928113383325,0
20260224,002828,1.0,0.6821014707796115,0
20260224,002470,1.0,0.6727374969902106,1
20260224,002716,1.0,0.6672737599611802,0
20260224,600871,1.0,0.6407173952173982,0
20260224,600722,1.0,0.6906568598549809,0
20260224,600339,1.0,0.6977053878419515,0
20260224,002554,1.0,0.7067344472750766,0
20260224,300749,1.0,0.6245939135461496,0
20260224,003035,1.0,0.7022435061001989,0
20260224,605178,1.0,0.698276092153665,1
20260224,603616,1.0,0.6739031158299493,0
20260224,600714,1.0,0.7084175124063595,0
20260224,002358,1.0,0.7029483743352546,0
20260224,000988,1.0,0.6431096247321941,0
20260224,600330,1.0,0.6983518910088161,0
20260224,600671,1.0,0.6912161048115731,0
20260224,300157,1.0,0.6740709404423414,0
20260224,603727,1.0,0.7070178754080324,0
20260224,688260,1.0,0.6756855467744768,0
20260224,002795,1.0,0.689593701311045,0
20260224,000545,1.0,0.6916409835723847,1
20260224,603077,1.0,0.6763492447720473,1
20260224,601212,1.0,0.5871406119577449,0
20260224,603256,1.0,0.674438708097094,0
20260224,603601,1.0,0.5929952786725726,1
20260224,603042,1.0,0.6759425657067836,0
20260224,601015,1.0,0.6910450612306533,0
20260224,600345,1.0,0.6868889149593971,0
20260224,001337,1.0,0.5772581930286628,0
20260224,600550,1.0,0.6723793708257914,0
20260224,601808,1.0,0.6764694662039498,0
20260224,601390,1.0,0.5585466383566734,0
20260224,301526,1.0,0.6420681847591706,0
20260224,601869,1.0,0.6345072814491205,0
20260224,002916,1.0,0.375657549016257,0
20260224,000968,1.0,0.6789904310419635,0
20260224,002491,1.0,0.6518627749383639,0
20260224,603685,1.0,0.6444274833812719,0
20260224,600172,1.0,0.6419494892597469,0
20260224,002165,1.0,0.5365827885338722,0
20260224,002136,1.0,0.5519667564484314,0
20260224,000635,1.0,0.5662121578192012,0
20260224,002809,1.0,0.5451875439997691,0
20260224,002457,1.0,0.5467481419980507,0
20260224,002875,1.0,0.5442189010542119,0
20260224,002312,1.0,0.5401941354372591,0
20260224,600176,1.0,0.477724721311711,0
20260224,002811,1.0,0.5213775814844938,1
20260224,001396,1.0,0.46347652767359915,1
20260224,600409,1.0,0.38381234352633437,0
20260224,000803,1.0,0.4689203624246231,0
20260224,002283,1.0,0.4248464307297474,0
